id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
11045,Carlton Blues,20,1996-08-18,1996,A,West Coast Eagles,4.3 7.4 10.7 10.8,68,5.0 11.2 15.6 19.13,127,L,-59,Domain Stadium,40085,10,8,19,13
11046,Carlton Blues,21,1996-08-24,1996,H,Western Bulldogs,2.6 6.10 9.15 13.18,96,3.2 4.6 8.9 9.12,66,W,30,Princes Park,21674,13,18,9,12
11048,Carlton Blues,QF,1996-09-07,1996,A,West Coast Eagles,1.4 5.6 8.8 10.10,70,6.2 11.7 12.9 18.17,125,L,-55,Domain Stadium,41501,10,10,18,17
11051,Carlton Blues,2,1997-04-07,1997,A,North Melbourne Kangaroos,1.6 2.9 4.11 8.12,60,2.2 7.8 11.12 12.14,86,L,-26,Melbourne Cricket Ground,38170,8,12,12,14
11053,Carlton Blues,4,1997-04-19,1997,A,Collingwood Magpies,4.3 6.8 12.9 15.11,101,6.1 9.3 11.10 12.12,84,W,17,Melbourne Cricket Ground,78704,15,11,12,12
11054,Carlton Blues,5,1997-04-27,1997,H,Geelong Cats,4.4 6.10 10.12 12.14,86,3.4 7.8 11.12 13.16,94,L,-8,Princes Park,25801,12,14,13,16
11055,Carlton Blues,6,1997-05-04,1997,A,Sydney Swans,1.3 3.3 6.8 11.17,83,6.8 12.10 18.14 21.16,142,L,-59,Sydney Cricket Ground,37933,11,17,21,16
11057,Carlton Blues,8,1997-05-18,1997,H,Hawthorn Hawks,5.4 10.9 12.15 15.16,106,0.3 4.4 6.7 12.9,81,W,25,Princes Park,29783,15,16,12,9
11058,Carlton Blues,9,1997-05-24,1997,H,Fremantle Dockers,4.3 10.5 13.6 16.9,105,4.2 6.3 10.4 14.4,88,W,17,Princes Park,18187,16,9,14,4
11059,Carlton Blues,10,1997-05-30,1997,A,Port Adelaide Power,3.4 4.10 7.12 7.13,55,3.1 8.3 10.7 14.9,93,L,-38,AAMI Stadium,40116,7,13,14,9
11060,Carlton Blues,11,1997-06-09,1997,H,Brisbane Lions,6.5 8.10 11.11 12.12,84,2.3 5.6 7.9 9.9,63,W,21,Princes Park,27904,12,12,9,9
11061,Carlton Blues,12,1997-06-15,1997,A,St Kilda Saints,1.5 2.7 4.12 12.13,85,5.1 8.8 13.15 16.20,116,L,-31,Waverley Park,44883,12,13,16,20
11062,Carlton Blues,13,1997-06-27,1997,A,West Coast Eagles,6.2 8.3 11.9 12.14,86,1.5 6.7 10.8 11.13,79,W,7,Domain Stadium,37854,12,14,11,13
11064,Carlton Blues,15,1997-07-12,1997,A,Melbourne Demons,5.0 10.3 13.5 15.10,100,4.3 10.7 16.8 18.11,119,L,-19,Melbourne Cricket Ground,27992,15,10,18,11
